,phone_num
245,00342796018543
246,00651432150492
247,00439675531872
248,00318296230548
249,00937625027315
250,00261793125784
251,00164859940781
252,00528793593740
253,00374286940158
254,00138675820479
255,00734285324705
256,00512764127980
257,00875941902548
258,00851693873052
259,00649257819245
260,00467528378914
261,00926483903527
262,00987562149708
263,00958243812375
264,00159284712580
265,00427638351284
266,00781239429780
267,00798542730415
268,00531476405729
269,00651392257094
270,00389217095243
271,00752143915732
272,00352487395170
273,00456829853942
274,00915768514729
275,00126985034179
276,00795826743259
277,00781639059732
278,00813467735491
279,00738641342591
280,00981653920845
281,00632517453902
282,00714823049152
283,00872346910345
284,00793524413290
285,00951476253490
286,00643817530247
287,00937421457329
288,00614532728314
289,00498531290485
290,00192673827504
291,00167498984503
292,00964127701249
293,00284173753180
294,00496715203589
295,00418736074851
296,00149258094782
297,00956823839571
298,00173842803174
299,00765314872453
300,00763241097283
301,00268974038542
302,00485917830724
303,00819456179584
304,00784912379208
305,00485913512497
306,00536218710893
307,00643875910284
308,00756289207854
309,00954137407283
310,00596182839217
311,00527463074312
312,00825769518942
313,00276413159028
314,00841257078145
315,00876491297850
316,00981256325190
317,00568291129307
318,00457381294187
319,00268791401592
320,00724359950137
321,00479126185074
322,00198753189432
323,00841763213740
324,00479218793014
325,00196425439257
326,00563924532970
327,00584361490215
328,00153478809743
329,00164387517294
330,00925138473895
331,00692831841735
332,00379246453908
333,00468523718254
334,00396574073914
335,00249571498731
336,00631497742810
337,00653149359807
338,00372964189750
339,00398217380497
340,00758936185379
341,00628375025187
342,00138295759203
343,00923751204875
344,00476231825470
345,00817269321490
346,00619435293178
347,00596218328051
348,00863419940518
349,00736498195247
350,00517648140587
351,00814257534890
352,00948265510234
353,00197453810243
354,00197654584073
355,00647813425389
356,00735482137892
357,00963251713250
358,00789651905348
359,00694723725304
360,00493871478325
361,00148692408723
362,00941872072358
363,00893475480195
364,00532674523081
365,00859237293508
366,00189376249587
367,00521679108237
368,00165742927038
369,00257619310897
370,00356918297318
371,00916453832750
372,00932164502473
373,00457986185207
374,00268739928374
375,00973268140527
376,00286139917382
377,00863947952381
378,00569438491735
379,00694253457310
380,00761895580247
381,00714259374189
382,00168923389175
383,00932564183072
384,00314695905823
385,00216574935417
386,00864759784125
387,00124693809541
388,00982543508319
389,00241568802759
390,00627183973425
391,00476381294718
392,00264835895371
393,00593678259174
394,00836297320978
395,00318245874930
396,00713289742938
397,00432698708439
398,00324986849071
399,00361827059817
400,00135987583720
401,00741259189073
402,00359786821095
403,00754689152439
404,00845912240571
405,00654237134590
406,00591834427908
407,00715394248957
408,00128376583497
409,00425139401583
410,00154789714958
411,00193245120345
412,00713952831042
413,00837926329750
414,00198263928017
415,00739256584102
416,00638159345712
417,00496721053128
418,00495368140987
419,00278691754910
420,00375689495782
421,00951246298435
422,00219754875140
423,00624358372109
424,00843271147389
425,00179345231954
426,00579863987052
427,00842513458732
428,00498761972480
429,00748952701594
430,00526419837251
431,00396824895274
432,00489136213759
433,00782156832947
434,00431659509482
435,00632197249738
436,00387619382570
437,00287635187459
438,00831672079254
439,00461579094175
440,00497563425390
441,00791438704813
442,00123675381420
443,00985427431270
444,00148325849512
445,00167349027493
446,00371462527139
447,00716258013725
448,00452619894731
449,00354976742801
450,00416825170842
451,00235468413578
452,00823714470935
453,00429135542713
454,00136759192578
455,00978653819423
456,00675139537249
457,00324659851427
458,00721369032981
459,00485137187420
460,00198327859047
461,00718936831729
462,00153627417253
463,00251793238497
464,00231487345210
465,00371946817409
466,00296874873549
467,00174539350879
468,00351249092453
469,00951486327591
470,00925634915280
471,00946182053284
472,00659478327510
473,00935142527839
474,00756129857901
475,00698213972841
476,00379812728134
477,00867293135824
478,00823179934158
479,00178925013792
480,00187932752831
481,00927854851904
482,00135928523879
483,00762483284391
484,00927456435712
485,00589316895371
486,00341675847502
487,00294781927301
488,00273465587031
489,00864253470195
490,00289351702318
491,00239574042875
492,00164328593482
493,00142856713842
494,00791358432901
495,00946852291304
496,00781365183275
497,00125934432815
498,00168329123978
499,00829576327591
500,00897241875104
501,00249581190745
502,00746931713250
503,00613259853172
504,00783214407238
505,00531987947538
506,00289514941327
507,00863741473510
508,00816749815720
509,00318465274591
510,00156948357802
511,00386157970342
512,00621893104382
513,00762154731204
514,00439586037594
515,00631297250791
516,00561328387250
517,00397425975348
518,00142573139807
519,00253486394021
520,00175982023458
521,00741569457380
522,00478253510392
523,00248963815074
524,00834769102473
525,00756812781352
526,00541873027819
527,00178394807129
528,00627358583941
529,00631948457893
530,00425681359182
531,00962748109753
532,00629387038417
533,00824359831452
534,00718392731842
535,00417265912850
536,00126537407391
537,00643189892534
538,00718964340592
539,00695827518397
540,00385617210758
541,00197564790813
542,00261574758419
543,00938547715083
544,00182367981025
545,00489732420789
546,00637215579823
547,00928143514038
548,00587692935184
549,00891326187203
550,00754698041293
551,00436871430521
552,00928753578319
553,00914735784930
554,00728493591023
555,00813427257980
556,00598247930254
557,00657123140859
558,00412369104297
559,00741359701523
560,00263978145739
561,00853462431870
562,00923471803541
563,00723645837920
564,00185764475398
565,00465718194507
566,00357648215807
567,00683521290183
568,00894175473128
569,00429583821735
570,00513267284901
571,00672438173249
572,00967324738425
573,00391257508497
574,00385291024731
575,00243957387190
576,00294376140932
577,00643197092451
578,00367284394078
579,00987625954208
580,00367489410872
581,00715293710423
582,00247381792548
583,00592734287430
584,00458762129735
585,00196345713250
586,00724163782490
587,00548729723104
588,00945127847253
589,00243186275981
590,00526478930741
591,00461892132794
592,00528971791520
593,00468157372045
594,00612754178492
595,00782659153049
596,00253476107943
597,00591763918725
598,00462798489250
599,00295467243981
600,00835269045831
601,00617532457231
602,00825349127459
603,00457169250874
604,00851924319485
605,00893571470285
606,00369845531790
607,00453769345912
608,00732851019582
609,00248593203579
610,00796852841023
611,00842635039125
612,00362197908245
613,00642185197034
614,00465893370249
615,00168572041389
616,00536798124593
617,00914265270931
618,00647259351047
619,00863425518904
620,00841956279143
621,00871652187054
622,00576381928310
623,00941573183594
624,00259786475310
625,00764532415279
626,00981436417530
627,00529738582349
628,00619754840321
629,00132965714908
630,00264395805147
631,00358672072983
632,00235479731025
633,00395842180392
634,00187235932078
635,00651927754123
636,00415296294305
637,00641538243915
638,00523147135274
639,00972413034827
640,00281746514023
641,00874219320985
642,00945231713890
643,00231798412537
644,00748325895327
645,00163724817925
646,00276859983215
647,00123495870139
648,00257613485903
649,00217945194750
650,00154837940873
651,00213798792408
652,00394576154097
653,00359827319450
654,00134852415308
655,00183647124807
656,00253967075321
657,00871249415372
658,00694712109284
659,00276381179502
660,00489162049583
661,00968425038274
662,00279481802437
663,00871564804239
664,00846953978135
665,00796342709852
666,00687954083745
667,00478693705321
668,00385496284153
669,00795382253970
670,00723698145023
671,00891764184527
672,00265384520478
673,00357614780145
674,00417589379508
675,00287496149052
676,00178462710284
677,00574362183092
678,00867592238904
679,00826147791452
680,00286954741529
681,00541837794258
682,00362495734518
683,00453182475293
684,00479182142735
685,00241579285403
686,00687149395421
687,00267853024581
688,00148952804759
689,00435728347582
690,00314627729410
691,00298467184270
692,00385671497385
693,00327185102784
694,00738124837405
695,00971234501932
696,00812579321540
697,00582417793854
698,00412839827139
699,00792815470985
700,00234971785031
701,00349761509341
702,00746129824953
703,00235489742805
704,00293845083294
705,00148763438079
706,00289614750812
707,00534276490182
708,00138574079152
709,00352748384179
710,00319726381592
711,00926853805172
712,00516389215704
713,00751389083127
714,00416598458039
715,00219465428130
716,00257143792483
717,00349258982310
718,00152479392107
719,00784312028714
720,00472851391728
721,00685374705194
722,00572348125790
723,00758194507932
724,00273419498135
725,00942576953817
726,00918726184532
727,00625418974310
728,00692173084523
729,00348916935812
730,00452863794281
731,00879516791842
732,00438519285401
733,00596473528490
734,00437158783924
735,00483251049125
736,00914276871529
737,00483521042539
738,00461798798120
739,00765319173205
740,00149367938517
741,00839421124058
742,00438925259184
743,00374215382079
744,00783429938241
745,00359641013527
746,00479281985413
747,00862574871495
748,00316542195802
749,00914723945832
750,00187629985327
751,00792615237501
752,00731654479830
753,00527684378412
754,00875319304127
755,00694578702438
756,00314267082973
757,00619274498732
758,00564127094753
759,00437596750924
760,00295146091234
761,00965481704381
762,00871695532491
763,00214698539827
764,00623457305491
765,00421576721305
766,00248971371280
767,00751628730942
768,00364125453297
769,00514729712430
770,00572634487913
771,00312975475208
772,00793425783529
773,00713529930517
774,00725819590382
775,00612439581739
776,00954671510794
777,00236879785240
778,00196248853097
779,00238671795082
780,00825794097318
781,00319726972085
782,00972653215740
783,00634125173420
784,00769213174805
785,00691482508791
786,00349512395078
787,00253861013759
788,00689714054372
789,00854632258709
790,00854362831457
791,00586924518204
792,00317954137904
793,00695132905137
794,00274361739542
795,00846172891407
796,00273549170429
797,00516234854201
798,00123578478325
799,00197526581492
800,00327459459278
801,00165897985103
802,00374982204973
803,00628143128753
804,00286417428703
805,00698574438710
806,00126593705814
807,00265148043789
808,00459786951243
809,00364715905478
810,00827369708492
811,00169458840513
812,00683412428371
813,00659237948705
814,00958637158370
815,00251498973512
816,00879136145023
817,00893541435890
818,00758192153789
819,00261534054927
820,00412593018473
821,00281563809154
822,00259386401897
823,00428761089732
824,00645389135420
825,00284539840379
826,00721935874523
827,00726149095471
828,00618375908317
829,00253716150739
830,00593247037425
831,00718436314809
832,00968751739214
833,00452739195028
834,00425968357891
835,00317982320987
836,00941528520473
837,00678254453187
838,00285173081435
839,00486713107954
840,00691245870592
841,00732569038759
842,00823716587432
843,00217549238940
844,00146789524397
845,00986473743025
846,00439615037892
847,00918563092317
848,00817692382501
849,00876913498721
850,00278416083251
851,00267938798014
852,00412583428057
853,00345627358274
854,00435297308752
855,00957813347285
856,00358792437280
857,00952741930518
858,00453218134279
859,00536492247150
860,00519782745918
861,00917683829754
862,00235619473128
863,00597182359127
864,00492365518947
865,00254138593248
866,00782954597048
867,00746239738410
868,00954632579842
869,00297361157924
870,00428719934705
871,00351876173208
872,00238794390587
873,00689327892043
874,00156348213045
875,00879615240185
876,00294637789130
877,00832569908241
878,00628537754280
879,00756893214750
880,00625871832759
881,00798514418730
882,00578496739042
883,00472651921403
884,00893564184035
885,00591276759240
886,00859163591843
887,00386194927405
888,00369728185974
889,00849516490813
890,00582743180475
891,00648259243071
892,00713654703249
893,00681935271459
894,00485173014372
895,00128596075841
896,00257914542738
897,00946238409718
898,00513867981534
899,00624317028137
900,00165429721489
901,00948156157483
902,00684253123590
903,00917368358210
904,00536978875392
905,00932514805924
906,00139546871490
907,00413685357192
908,00271395298471
909,00931682419350
910,00816349074835
911,00298635420713
912,00597812279153
913,00234198351274
914,00486357572389
915,00958472491702
916,00198237523197
917,00267581895142
918,00463189153708
919,00128953907153
920,00254987087491
921,00872569035781
922,00126897973015
923,00267189938152
924,00819325752310
925,00674932478105
926,00635129239748
927,00574291395248
928,00758461318075
929,00325197970184
930,00178542249107
931,00498163487190
932,00296814315042
933,00813752190723
934,00175842041583
935,00873124842507
936,00529437239184
937,00329564580734
938,00859374071549
939,00253876970128
940,00689415942170
941,00842613037298
942,00748639817240
943,00763195831902
944,00458921178943
945,00152397029437
946,00416879497501
947,00384596245093
948,00752869739458
949,00617853805174
950,00285967091874
951,00281564107854
952,00935486923845
953,00287936748192
954,00298615074218
955,00675143451830
956,00431987028413
957,00324768709428
958,00384915702513
959,00347185347259
960,00257419207518
961,00984572549031
962,00432768520941
963,00867923908147
964,00914263325079
965,00185469503794
966,00736281870354
967,00523419310759
968,00386529704531
969,00625384920578
970,00936245785941
971,00392517718345
972,00596832089237
973,00854639405732
974,00819325958241
975,00482931042598
976,00679482017549
977,00352698432180
978,00689421530972
979,00543618394520
980,00168473982341
981,00643517194753
982,00782416819024
983,00349821853079
984,00156798975812
985,00419386457902
986,00985372293058
987,00165938157038
988,00243561539472
989,00879243453728
990,00683542380259
991,00426579912540
992,00581793374958
993,00815397370241
994,00396427857041
995,00547293395740
996,00126537902314
997,00814567098351
998,00759826502914
999,00351674980721
1000,00428965095172
1001,00412957930847
1002,00576918319472
1003,00749135547809
1004,00963812401235
1005,00931527072138
1006,00732981735120
1007,00293876149285
1008,00316457472135
1009,00341987407918
1010,00397158291534
1011,00628591205873
1012,00791684319254
1013,00832695792108
1014,00925174192085
1015,00357986953147
1016,00259874920738
1017,00268935857109
1018,00621384924735
1019,00769583923810
1020,00842791932510
1021,00198372580213
1022,00731486831047
1023,00389547732958
1024,00583741854129
1025,00175824375829
1026,00587496057483
1027,00312549518273
1028,00245798982140
1029,00528196905431
1030,00634859802379
1031,00869457041785
1032,00265174590237
1033,00416589973425
1034,00653879528703
1035,00139867085791
1036,00692378374281
1037,00385269971083
1038,00963517397820
1039,00917624408591
1040,00217839287401
1041,00237548329087
1042,00687541508794
1043,00813695059421
1044,00271498925140
1045,00173248503748
1046,00538921415382
1047,00879531987431
1048,00124956429187
1049,00719342751942
1050,00815796421385
1051,00897362120849
1052,00456731139802
1053,00426139701845
1054,00268495594721
1055,00764983739405
1056,00327451271540
1057,00439258734925
1058,00354218507234
1059,00453869927834
1060,00163594250934
1061,00437692180392
1062,00214983019732
1063,00347598928417
1064,00612957532480
1065,00275819490327
1066,00341267354109
1067,00475862413782
1068,00957243378425
1069,00871594403957
1070,00619534180547
1071,00315972023985
1072,00924568421397
1073,00539872894315
1074,00736581041523
1075,00294651073985
1076,00975823714059
1077,00245837302475
1078,00915746938702
1079,00739562803927
1080,00186237421583
1081,00658147389215
1082,00514862703948
1083,00786315978032
1084,00298657973142
1085,00618495954038
1086,00864953957108
1087,00345912058274
1088,00694157093452
1089,00279431823014
1090,00351294750928
1091,00793254872015
1092,00572836340195
1093,00475693874350
1094,00493726932178
1095,00315694782450
1096,00691723071493
1097,00563821281045
1098,00943527534021
1099,00751348798350
1100,00186742245389
1101,00169527802179
1102,00381594439728
1103,00391567419208
1104,00149265870394
1105,00437258158972
1106,00915847159280
1107,00956173927431
1108,00369587901734
1109,00326849195384
1110,00618293923870
1111,00869527934751
1112,00534289890245
1113,00834691813509
1114,00652784508941
1115,00135682275038
1116,00946715174032
1117,00826943085439
1118,00185463051487
1119,00326958842913
1120,00856493728095
1121,00724591973451
1122,00819362749023
1123,00816357532097
1124,00685729825974
1125,00175234813594
1126,00348726370294
1127,00146925143078
1128,00957143107324
1129,00953641582793
1130,00982735745982
1131,00781596345107
1132,00514769079518
1133,00485297735912
1134,00531684089532
1135,00324976731592
1136,00135972523097
1137,00358961492178
1138,00321794814327
1139,00324795127945
1140,00143956975403
1141,00867532354728
1142,00892346758049
1143,00847215905238
1144,00914763382457
1145,00472186730984
1146,00937421573291
1147,00362751451309
1148,00189645138942
1149,00246953127950
1150,00491235541073
1151,00546192152093
1152,00826937572104
1153,00594683572140
1154,00827143214708
1155,00152347875241
1156,00452819309541
1157,00139625457039
1158,00172389910874
1159,00789165231984
1160,00294568531480
1161,00537489345928
1162,00384275329518
1163,00147293543792
1164,00928451394052
1165,00937468327084
1166,00789326270594
1167,00341875149720
1168,00421876924517
1169,00592143047158
1170,00871536135709
1171,00761592704915
1172,00526714132904
1173,00174863978513
1174,00476218807253
1175,00613785918327
1176,00613578475923
1177,00826417139784
1178,00417952520314
1179,00721845143872
1180,00391745159280
1181,00342865380541
1182,00847132573901
1183,00761524813592
1184,00348925203947
1185,00437615594731
1186,00273865074589
1187,00986427705932
1188,00754362591387
1189,00197453328104
1190,00519482931472
1191,00942816315420
1192,00953814308957
1193,00721349342857
1194,00874165153709
1195,00176942172394
1196,00736815920573
1197,00591863321970
1198,00536498834175
1199,00298341593087
1200,00238697150374
1201,00974512493817
1202,00576921023198
1203,00485736845307
1204,00549867593814
1205,00639854728430
1206,00856147132850
1207,00897562120543
1208,00846953231507
1209,00983271098751
1210,00492568702953
1211,00852631150239
1212,00745293542078
1213,00641975594027
1214,00827954293140
1215,00362794527134
1216,00923764518974
1217,00621784893072
1218,00694238473089
1219,00872154932415
1220,00679182157348
1221,00854329183504
1222,00651372214389
1223,00139758021854
1224,00431762083921
1225,00935861238975
1226,00534872823071
1227,00238741187425
1228,00748136129084
1229,00376185184507
1230,00132645405827
1231,00962187139854
1232,00657289947501
1233,00581732289403
1234,00172648701298
1235,00427816951407
1236,00578941781029
1237,00486753932470
1238,00273916395174
1239,00498132340128
1240,00153286189725
1241,00642873872394
1242,00287564374581
1243,00742381731059
1244,00593621405278
1245,00784239273498
1246,00381265104397
1247,00576912328471
1248,00397286783259
1249,00175934231859
1250,00295761580241
1251,00283571940821
1252,00751896813540
1253,00936287983754
1254,00245368054728
1255,00243671147893
1256,00236815103495
1257,00158234815930
1258,00385649513729
1259,00426178149520
1260,00317529348950
1261,00579214804523
1262,00214786012794
1263,00628937520189
1264,00794281741352
1265,00529831413589
1266,00574892910284
1267,00734658508713
1268,00653789834579
1269,00139546924875
1270,00392861084273
1271,00143592287530
1272,00781495819354
1273,00573124037254
1274,00645921145230
1275,00149625427158
1276,00598162285347
1277,00698137079435
1278,00619257451729
1279,00528613217854
1280,00592341954217
1281,00748195278054
1282,00387169134072
1283,00479218874920
1284,00821569749532
1285,00924317789214
1286,00241538187902
1287,00483159085194
1288,00384251928714
1289,00423596098423
1290,00867192942078
1291,00129846273954
1292,00893475471352
1293,00167834254097
1294,00452379314720
1295,00397458179534
1296,00731452753291
1297,00715394389520
1298,00439268871405
1299,00947528378102
1300,00297834258103
1301,00359726947251
1302,00518426184523
1303,00438619137254
1304,00531729879204
1305,00618279795481
1306,00679324293815
1307,00189436239471
1308,00632941071239
1309,00237148493705
1310,00275418713258
1311,00431297501724
1312,00246813058194
1313,00189574829135
1314,00925463439157
1315,00439751085273
1316,00392517409173
1317,00465193083912
1318,00591827758319
1319,00678139439810
1320,00785396839045
1321,00974586489031
1322,00469871210587
1323,00128495812493
1324,00932176531489
1325,00512864180237
1326,00236978540813
1327,00321876521937
1328,00416872105347
1329,00829754728903
1330,00972684051237
1331,00974182318270
1332,00847125053417
1333,00615498853041
1334,00374156092157
1335,00312945548391
1336,00834261589320
1337,00239187081754
1338,00236147254839
1339,00296178730452
1340,00495167021937
1341,00814397190842
1342,00961573473980
1343,00931846245791
1344,00512874573912
1345,00837465278395
1346,00725183397082
1347,00651487809521
1348,00157962894137
1349,00658174417530
1350,00985346325749
1351,00516248351790
1352,00845291302471
1353,00165237750218
1354,00936541913207
1355,00521637873592
1356,00623145471205
1357,00471823047183
1358,00876312342571
1359,00675893540938
1360,00426178280547
1361,00172394815023
1362,00395476958431
1363,00528346907315
1364,00927346850349
1365,00934718529307
1366,00748915593720
1367,00541862185790
1368,00348617405238
1369,00634512217083
1370,00562839012348
1371,00139586318250
1372,00435129925380
1373,00752864279135
1374,00139867053281
1375,00864597401732
1376,00548913198352
1377,00931847248751
1378,00146853857941
1379,00496782427351
1380,00423786480923
1381,00691547845913
1382,00812954127935
1383,00529687457930
1384,00561893342918
1385,00196847289451
1386,00913864984570
1387,00957832148732
1388,00612547324975
1389,00728364921705
1390,00629748378240
1391,00251637137085
1392,00528741189237
1393,00846972104279
1394,00216893104978
1395,00174265458319
1396,00528169279541
1397,00891265239075
1398,00532697718325
1399,00213568537142
1400,00395278834170
1401,00452981730915
1402,00428361158037
1403,00391485290718
1404,00827941418352
1405,00534729785439
1406,00427953728140
1407,00823769578493
1408,00126894351780
1409,00513268148570
1410,00897531170358
1411,00476135937485
1412,00523781814925
1413,00894127308254
1414,00721456491502
1415,00284917908713
1416,00265879143029
1417,00182345938175
1418,00587624839420
1419,00953841047182
1420,00873195197302
1421,00142358054213
1422,00943712785029
1423,00813794179048
1424,00325974842759
1425,00145639540371
1426,00892761529840
1427,00976315531497
1428,00359672372918
1429,00165893975104
1430,00298367281594
1431,00312479389405
1432,00692571048237
1433,00193248179230
1434,00358641027148
1435,00364512195237
1436,00926758057294
1437,00413792045189
1438,00469723739458
1439,00517863498750
1440,00678431753948
1441,00926385720958
1442,00957846809571
1443,00536974942753
1444,00398157513892
1445,00639785528137
1446,00317495487953
1447,00271958732918
1448,00364915845091
1449,00186432127890
1450,00679182710325
1451,00867145820197
1452,00594723192054
1453,00342681280345
1454,00368197780294
1455,00724853392407
1456,00893214185347
1457,00365428597102
1458,00265318182409
1459,00436859345927
1460,00491356509214
1461,00386742847513
1462,00564237391507
1463,00749158074235
1464,00734896019857
1465,00213754738452
1466,00958241592103
1467,00983654079352
1468,00289731348715
1469,00412798725098
1470,00138927741825
1471,00795612791035
1472,00479531578341
1473,00345872594823
1474,00391685054182
1475,00376942592034
1476,00294615904273
1477,00643512047153
1478,00713624472591
1479,00712534748032
1480,00752318032814
1481,00564137703891
1482,00175423425039
1483,00291358093472
1484,00574396840723
1485,00912573805792
1486,00754162587421
1487,00413629841729
1488,00371654542013
1489,00837951954703
1490,00386425207458
1491,00758293574029
1492,00354921038591
1493,00794521205374
1494,00589723285340
1495,00462153048931
1496,00234916130854
1497,00153946718035
1498,00413597245903
1499,00281639253478
1500,00534682278430
1501,00685417270354
1502,00627381974031
1503,00973568120947
1504,00498531210975
1505,00745386521984
1506,00375946042951
1507,00184937835401
1508,00178593930571
1509,00497362591830
1510,00612734537102
1511,00495162894701
1512,00938167439507
1513,00192785273948
1514,00935784701538
1515,00829163217358
1516,00359612957130
1517,00917263295307
1518,00315496540912
1519,00982761491807
1520,00732968271853
1521,00573648543028
1522,00876419874901
1523,00195846103274
1524,00147395409835
1525,00453987789251
1526,00598362938542
1527,00164597703458
1528,00365829981570
1529,00153728874235
1530,00589472072951
1531,00415783982570
1532,00927516419853
1533,00432597894735
1534,00569718158937
1535,00496857803149
1536,00986124483152
1537,00452869982571
1538,00148735230549
1539,00652943810972
1540,00814965572109
1541,00863152053792
1542,00932465701234
1543,00183296532780
1544,00581472371582
1545,00286574480352
1546,00689475351847
1547,00869731579423
1548,00852147945082
1549,00148567593014
1550,00856192257091
1551,00271648049253
1552,00785126290178
1553,00256748971350
1554,00681523480751
1555,00179238974358
1556,00189653874931
1557,00918236953201
1558,00617498024978
1559,00471258913847
1560,00576431495072
1561,00517428345780
1562,00238156238750
1563,00894536283540
1564,00891573305471
1565,00453197341750
1566,00327915720853
1567,00354987531842
1568,00924567987540
1569,00891532015784
1570,00731824037512
1571,00632754390257
1572,00692841450287
1573,00962813019738
1574,00418973509731
1575,00295674210487
1576,00367194908215
1577,00417962480253
1578,00418756583290
1579,00142376381407
1580,00425619137458
1581,00238714027319
1582,00413982091583
1583,00392614975048
1584,00478952371402
1585,00768513912307
1586,00435726942081
1587,00498725759831
1588,00781324549807
1589,00924687452083
1590,00817529538721
1591,00543716934218
1592,00192376145932
1593,00219584325790
1594,00963241108249
1595,00149753298470
1596,00374596287351
1597,00274158459317
1598,00729385501423
1599,00246183049135
1600,00321486489273
1601,00961843791523
1602,00621578259813
1603,00814357284309
1604,00287154145803
1605,00574386359280
1606,00784165894307
1607,00725614270834
1608,00279534143285
1609,00265417924785
1610,00352497975302
1611,00876135793214
1612,00892413714598
1613,00476518450723
1614,00375462734190
1615,00528763952714
1616,00632184203954
1617,00857416872403
1618,00159432937125
1619,00641927940518
1620,00256934901378
1621,00986512753021
1622,00251349243591
1623,00936472793241
1624,00481392728405
1625,00948365890342
1626,00938457341028
1627,00624857385104
1628,00912745012753
1629,00971456907514
1630,00318574075321
1631,00682397932571
1632,00123486487150
1633,00471329521908
1634,00675429492871
1635,00982351721834
1636,00684179274139
1637,00741532175039
1638,00693482017854
1639,00374128432170
1640,00435978572834
1641,00324591173928
1642,00273498983271
1643,00854913284739
1644,00348761471509
1645,00176859810529
1646,00842716590823
1647,00418532201854
1648,00726341439025
1649,00392147380592
1650,00134258409387
1651,00961347029581
1652,00537914214759
1653,00586732395407
1654,00512347923570
1655,00562419251907
1656,00194376973415
1657,00637152825903
1658,00978435983057
1659,00147293398075
1660,00694812852149
1661,00463782920873
1662,00261935349175
1663,00857143052983
1664,00895634327514
