,phone_num,account_num
215,010-2697-6359,7359194107
216,010-1097-9048,23989227138
217,010-4938-5146,31231901952
218,010-5869-3149,2178078328745
219,010-6850-6854,50783071412738
220,010-8691-5746,0848528170
221,010-6274-3285,82514032198
222,010-4619-5792,84554728302
223,010-2631-1098,0849374157918
224,010-8247-4705,42703895197408
225,010-4538-6947,5839173054
226,010-8209-6940,15759343971
227,010-6792-1365,21758490281
228,010-3427-3864,0592780948123
229,010-1893-1963,95835823703521
230,010-1986-7589,2082748973
231,010-0745-4907,75079858792
232,010-6214-9801,83059127140
233,010-9271-6708,2859759184903
234,010-9265-3928,98735872824973
235,010-5782-3207,8550358401
236,010-1582-0368,15352393210
237,010-5687-7501,03210938932
238,010-2054-3749,1584920810835
239,010-8967-2586,70142179739205
240,010-3074-8926,4307440597
241,010-7349-5638,57098709817
242,010-5692-8901,78558495421
243,010-2648-7261,8703748519540
244,010-3492-1036,83014172972148
245,010-7450-1736,8714949821
246,010-2317-9860,10409727503
247,010-0759-4108,72824794352
248,010-1290-0389,2105438723108
249,010-4873-8759,25303410947180
250,010-9816-5016,9871824379
251,010-7153-8493,03772092138
252,010-6097-5649,04894058417
253,010-0635-8162,5821830921705
254,010-7821-5813,43790198491720
255,010-5263-2170,0273029537
256,010-8034-9362,29418075982
257,010-6924-3695,51778142570
258,010-5897-9287,9758758282975
259,010-0524-0231,32919503409758
260,010-8147-6497,5394881902
261,010-5791-6157,78275359820
262,010-1506-3074,58710251754
263,010-2065-1308,4918310784321
264,010-3281-6058,42105920852190
265,010-0869-8162,9849748350
266,010-2867-7862,37450914830
267,010-7643-6379,72073585023
268,010-7569-1382,8310715350328
269,010-9617-2810,13503780971253
270,010-7052-2039,0143272453
271,010-0813-3691,47372872514
272,010-2081-3780,29875904329
273,010-7031-8530,7045107943059
274,010-5419-3715,08342378532708
275,010-8065-1596,7405715428
276,010-2375-4678,10349512709
277,010-4790-6943,02854714815
278,010-5284-6351,1439395747503
279,010-2871-7168,03285389379214
280,010-2634-7529,4292472518
281,010-2370-5679,08284052908
282,010-1478-4795,80140382748
283,010-8504-5208,0179508990384
284,010-6289-5631,70910937091723
285,010-7520-5173,3595237905
286,010-2890-0291,75917987942
287,010-0583-3192,14948072018
288,010-2107-4086,1458042848327
289,010-9734-6079,17232153431257
290,010-9321-7912,3285028941
291,010-3970-3750,14320984075
292,010-6957-2908,89580140498
293,010-4319-8501,7841290182390
294,010-2614-4825,50979185175098
295,010-5273-9614,3437215724
296,010-7029-3014,89442789043
297,010-5074-0493,17582397584
298,010-5617-9584,4715715840589
299,010-2856-2039,30244203034982
300,010-9263-3608,0312392458
301,010-4532-1425,02728731275
302,010-0586-5079,29380593270
303,010-0783-3615,9510893593257
304,010-3748-5062,35701590340951
305,010-2370-2514,0423980219
306,010-9308-3872,98094737940
307,010-5912-4012,48323178752
308,010-3687-2946,5327987089247
309,010-0876-9147,39421357231957
310,010-7405-0763,9412072345
311,010-7430-2384,17975902135
312,010-3095-8379,91524877951
313,010-4895-1079,3571491382491
314,010-8401-3492,59480375753482
315,010-6194-7952,1870901283
316,010-3617-0581,10813559238
317,010-7124-7104,05479482301
318,010-0497-1859,2318057395281
319,010-8192-5810,19734102359041
320,010-0416-1203,2490519540
321,010-2340-8964,74001349708
322,010-6794-2308,39878417825
323,010-0892-4039,5032175471405
324,010-4029-2608,41798341501923
325,010-2194-3472,9739530574
326,010-8497-4256,80459842180
327,010-7436-5048,95083948175
328,010-0953-2487,5923127943851
329,010-4301-1480,82017853078412
330,010-0697-3672,5794017830
331,010-1476-2917,92891702157
332,010-4980-9125,42943283854
333,010-9248-5016,4579792892308
334,010-7394-0356,54982739548071
335,010-9485-9458,8005258279
336,010-9716-9358,50104780975
337,010-3584-7810,95857808792
338,010-8795-7385,4250517970914
339,010-4759-5860,28599783318275
340,010-7854-3924,2497431254
341,010-9065-4931,97173942978
342,010-7486-7463,15054878370
343,010-3820-3851,0345527903247
344,010-8465-0729,75048250148593
345,010-5402-6479,3431970832
346,010-8431-5126,79541574150
347,010-7853-6719,29542355324
348,010-2790-4912,3805523783194
349,010-9587-4615,23843027204187
350,010-4092-5739,2329724157
351,010-6309-0135,47020848150
352,010-6173-2196,50384590372
353,010-1978-8417,2104408593108
354,010-7182-5289,04355240391084
355,010-8413-0479,4537029740
356,010-2309-1478,78032491273
357,010-0483-5140,29823982498
358,010-7104-4863,0827981550478
359,010-9706-9482,79087908078195
360,010-2140-8963,2983924851
361,010-9604-2679,21074218275
362,010-4357-7064,40810289305
363,010-9785-1362,0821574017405
364,010-3928-3210,84278310781543
365,010-6801-0681,3007592701
366,010-4751-7948,10832482304
367,010-0934-5718,72897508523
368,010-1764-0543,1028208540752
369,010-5316-9721,42599538428391
370,010-9453-0783,5991878192
371,010-8546-8364,12878920549
372,010-4583-2843,24332582185
373,010-9127-6734,7052823793074
374,010-9514-4510,18409405712493
375,010-7502-5712,3298278342
376,010-0324-5496,01892573249
377,010-5381-1243,32595807832
378,010-5214-0925,3921081208139
379,010-5810-9603,45938701942103
380,010-6754-8561,9152972940
381,010-0395-8496,07192741093
382,010-7542-7540,15953723582
383,010-5347-9284,4397520347152
384,010-8961-6982,70414528487921
385,010-0267-3706,0348225193
386,010-4086-4879,15491249835
387,010-4598-8657,58407397294
388,010-9213-3658,2394479027935
389,010-2164-6032,50385278074325
390,010-1349-2317,5302702548
391,010-9854-7613,09707108395
392,010-8047-4861,01785270813
393,010-8317-8612,7825815772510
394,010-1384-2597,03841035812703
395,010-2759-7680,5370171832
396,010-9317-1093,38119279085
397,010-4853-8920,41039724739
398,010-3270-9356,9837145840817
399,010-4027-0876,87252104324859
400,010-8946-7094,4135931970
401,010-9782-0837,92505289702
402,010-7458-9873,35907482198
403,010-5791-3247,5840095847293
404,010-6432-1748,34900519578930
405,010-5380-6178,0728385294
406,010-3416-6481,74881334829
407,010-3207-4936,72373257185
408,010-9350-8296,3085850450149
409,010-8193-2819,09781730724153
410,010-5124-2650,8257082513
411,010-0536-6245,18529505892
412,010-6145-8062,73227515210
413,010-6123-4581,8071920390285
414,010-3692-0128,90717349253918
415,010-8536-3675,4713283701
416,010-1367-4380,23120951932
417,010-0983-7814,32920544059
418,010-9473-9504,9241501291472
419,010-8691-6501,73512351519438
420,010-7389-6049,8530108291
421,010-4387-8795,97450810427
422,010-8795-0375,07320857294
423,010-2458-0673,8407342094781
424,010-3592-6905,53147984542970
425,010-3875-3087,9053258273
426,010-5928-3019,87990524910
427,010-0147-8619,13220193750
428,010-4967-0214,4389102512590
429,010-8176-0967,59823895753482
430,010-7690-3429,1895817980
431,010-1530-0314,51445148312
432,010-0874-5183,13251837281
433,010-3604-2538,1970980134587
434,010-5480-5419,01537425820317
435,010-2031-6983,0475349720
436,010-7102-4176,43812742730
437,010-5473-7562,42184099854
438,010-8796-9831,3210537409713
439,010-9416-5608,31287301845792
440,010-1647-7169,0835725091
441,010-0482-8217,92831238074
442,010-4593-7432,90835943804
443,010-9861-8904,3498143297803
444,010-7456-4985,30199581402315
445,010-7145-6983,8151487491
446,010-0952-3265,50853018249
447,010-3705-3576,91751923917
448,010-4869-4512,1207830107584
449,010-4625-0697,05298504149753
450,010-3781-4201,0771534528
451,010-5179-1824,04157441502
452,010-6438-4936,50827303427
453,010-1083-3061,0582247092058
454,010-3098-2158,37957042128953
455,010-5184-8943,2558329305
456,010-2695-3471,07532954721
457,010-4516-4621,03758499250
458,010-1098-7915,3278028415730
459,010-9213-8537,21498715075194
460,010-4375-8936,7924559470
461,010-4921-4650,32570428015
462,010-0589-6759,09175142905
463,010-3258-9031,5087452994083
464,010-5649-1594,82759025295748
465,010-5360-1935,2120708429
466,010-3954-9321,07425081792
467,010-6324-7358,92004274103
468,010-6918-5231,7930307150784
469,010-8796-1537,01424285310472
470,010-3087-7034,1014758247
471,010-7031-2187,28985982745
472,010-6952-4061,32817598194
473,010-8162-3485,9785278093875
474,010-0832-2031,01739425935814
475,010-2938-3018,1914851247
476,010-4296-3569,19542537245
477,010-7602-0948,49784597381
478,010-3176-3470,4358943234028
479,010-7358-5864,97233142298043
480,010-7396-7390,9731738594
481,010-2540-9083,38245039521
482,010-6593-0842,19707314150
483,010-8069-1867,3107492378105
484,010-6147-2841,93575189781302
485,010-6235-5934,4981371594
486,010-1358-7340,15858223940
487,010-9825-5689,51851375803
488,010-3907-3706,5134294524081
489,010-0238-0895,97143278172953
490,010-0169-0698,2991095024
491,010-3479-3150,72550307382
492,010-5417-5649,20434789352
493,010-7562-5043,0574245858047
494,010-9013-0745,50434391901842
495,010-3465-8573,4540132910
496,010-7360-6490,20703595728
497,010-3927-2510,24795122437
498,010-2309-3760,7038374549518
499,010-1745-1928,23194293158927
500,010-7684-9260,2003754290
501,010-1495-6581,39454113598
502,010-6734-9143,25752838193
503,010-3078-2915,5921283473512
504,010-0516-7092,43718174935047
505,010-3719-8417,4219592571
506,010-3145-1624,81398087143
507,010-0153-4162,87431595239
508,010-5490-1375,3024495070913
509,010-1048-0915,19400813975304
510,010-2816-0643,0494210824
511,010-2673-6431,39873083520
512,010-6048-1340,59281452835
513,010-7683-6729,9247091502835
514,010-5132-4610,91088791129047
515,010-8136-0735,2585112548
516,010-5467-9130,27945981420
517,010-3240-9756,31428471783
518,010-6197-7682,5721435004287
519,010-8519-0173,91201958781593
520,010-9438-5793,4943790541
521,010-0238-1098,72920715804
522,010-8042-5194,95327049384
523,010-3056-8631,7549904704187
524,010-8396-5418,79051873184275
525,010-9451-0459,9239703921
526,010-8615-3714,75408221849
527,010-6035-0539,27589438750
528,010-7251-9015,7481937239587
529,010-8350-8120,47915907351702
530,010-8976-8460,5473518270
531,010-2368-0431,03243104157
532,010-0731-2901,03128303019
533,010-0178-5609,0419304705481
534,010-1708-5297,89747059892750
535,010-0761-2390,0813478130
536,010-8064-6831,57107821589
537,010-2380-5821,49101930258
538,010-1072-2135,1478901339102
539,010-2105-0932,48578503503278
540,010-3867-6419,3123104527
541,010-1782-1630,42583180143
542,010-5264-5960,53428048247
543,010-1697-8795,2514314531748
544,010-5694-7851,78455019145098
545,010-6481-0789,3234743709
546,010-9862-7012,94585191435
547,010-3916-6781,17932099745
548,010-5461-6708,8237048921740
549,010-0975-5237,93819178413208
550,010-9170-5028,9514259312
551,010-0328-9064,92782425397
552,010-0752-0835,39051808901
553,010-7602-5078,2517073291270
554,010-0729-2756,72419012345980
555,010-4963-8245,3283095482
556,010-8295-6712,98243713785
557,010-7453-7508,37908930249
558,010-3657-8473,2459127925048
559,010-3870-5874,17349452074291
560,010-7946-2146,9809551320
561,010-3926-1870,07918751409
562,010-4286-1398,35479131823
563,010-7130-7192,5043539182405
564,010-9710-8635,54921254472058
565,010-3894-8637,0240314203
566,010-1463-7940,98745801957
567,010-8729-9568,41890144750
568,010-4205-0537,2348029827391
569,010-4620-6201,20757358413520
570,010-1926-4576,9493250984
571,010-8309-3584,51398447285
572,010-6479-3479,30123450938
573,010-7084-3108,3492325473814
574,010-1067-0961,70934723902451
575,010-5094-9430,4942398570
576,010-3190-2401,89298235084
577,010-7658-9230,02848574980
578,010-6431-1590,7954341028039
579,010-3087-3167,41233178807539
580,010-0952-9048,0513705384
581,010-4863-0823,79878078315
582,010-8613-4876,92801584917
583,010-8617-1729,3275470173014
584,010-7059-7403,29107083892710
585,010-9357-6172,8219348539
586,010-4031-1382,91429710582
587,010-1708-6830,50701430582
588,010-7604-1736,5140017480452
589,010-1372-5812,83017832841329
590,010-9306-4051,2325493517
591,010-3942-0846,75978309735
592,010-5302-8795,93892102845
593,010-0721-5127,2805354875342
594,010-8763-2739,74132987103789
595,010-0836-4516,7572949813
596,010-0213-9645,09487379381
597,010-3784-2967,07504738127
598,010-6304-9857,2184047124879
599,010-5849-9813,49071309357842
600,010-1897-0478,5878349805
601,010-3879-1956,34040194753
602,010-0976-6758,10382073041
603,010-2850-2507,0259179813240
604,010-7102-5027,12472413325910
605,010-6527-9471,5142935097
606,010-7916-8623,98095234901
607,010-3429-6157,40940927409
608,010-1542-8716,3982073432897
609,010-5823-3826,97580924217893
610,010-9743-4320,9594839184
611,010-4592-2018,52992195341
612,010-5297-4716,87585204327
613,010-1529-8105,3941958090324
614,010-4837-3501,18749375834057
615,010-8346-8247,2923582107
616,010-4927-7962,83543034510
617,010-9276-6870,83503459740
618,010-8234-6975,3109490890375
619,010-2196-1483,03593178730958
620,010-5016-5907,9384791745
621,010-1974-9863,75071039472
622,010-2340-8629,94704383521
623,010-9172-9643,8947058297234
624,010-0792-8543,49717148173408
625,010-5487-4389,5919285102
626,010-6513-0572,32751318025
627,010-2314-3209,03827095487
628,010-2861-3497,5231702859130
629,010-5402-5964,01733598742815
630,010-8421-9243,3042578532
631,010-5897-8423,39490720491
632,010-4163-4825,51357284973
633,010-7935-7605,5941852005984
634,010-5804-7895,30920451231845
635,010-3489-3402,8230117832
636,010-6187-6319,15350228457
637,010-0173-2047,82979128459
638,010-7158-0795,2437197407125
639,010-0135-4620,09240381259143
640,010-1957-2809,7392792054
641,010-3570-7405,12770350238
642,010-7312-7952,41097233170
643,010-2169-8049,2413012747853
644,010-2819-9186,52715290509781
645,010-6748-4519,8593029137
646,010-5372-3927,50372129843
647,010-3984-6473,84970585439
648,010-1096-2158,9073251929570
649,010-0436-6014,90213492371492
650,010-3219-9843,9187050178
651,010-7134-5197,45205925348
652,010-8025-8245,73557104152
653,010-5106-4518,1029987532904
654,010-1407-9742,17807094341528
655,010-6907-3924,1701513824
656,010-7369-1820,23121914032
657,010-3462-6039,10454933981
658,010-7862-8092,0375384552931
659,010-8792-5792,34589170380419
660,010-8562-7489,9731527304
661,010-0853-0378,98081037918
662,010-9627-3628,19024899537
663,010-6751-9862,9825120705893
664,010-9471-0385,05341974532419
665,010-8172-6781,2008434891
666,010-5890-1934,43718974932
667,010-4951-0817,92710952901
668,010-4136-5893,0548752951293
669,010-0547-7854,75925281472531
670,010-3654-4102,1230132749
671,010-0381-2947,51235178542
672,010-2860-1768,18028343025
673,010-6391-4061,5297542128591
674,010-7048-3491,15899870102397
675,010-7384-7182,8782990158
676,010-7260-4531,02135824913
677,010-6437-4365,02875393815
678,010-0714-2147,1795350947895
679,010-4650-6508,92451837593218
680,010-8013-4263,3701743728
681,010-2459-1685,72110347018
682,010-7984-0249,90285098405
683,010-8926-0742,5943798308397
684,010-5376-6195,51403812591872
685,010-5326-8705,2530795372
686,010-6729-2475,45901779304
687,010-4908-5640,83124895821
688,010-9508-9568,8574723070185
689,010-0298-0815,54177124180725
690,010-9853-3192,0818049107
691,010-0437-3724,81583042078
692,010-9510-9153,97839189831
693,010-7241-0423,7401845094235
694,010-0864-2450,18352054810537
695,010-7129-8026,9893747953
696,010-0568-3678,25193505783
697,010-3258-0154,78510729407
698,010-3120-8320,9542845381590
699,010-8731-1390,74915908095124
700,010-7106-2134,4375978043
701,010-8132-3508,57138238745
702,010-8490-8360,18578133845
703,010-8724-3908,7309298598170
704,010-1463-9162,45282930938450
705,010-0527-6875,0107851827
706,010-7491-8562,12910431502
707,010-6098-2348,34139503210
708,010-4123-6129,3598501401953
709,010-7148-7546,18524295753912
710,010-4532-7385,9147025913
711,010-0483-8790,54383749157
712,010-3791-6457,50820548317
713,010-5042-2381,0947370174308
714,010-2418-2614,71507043175984
715,010-7932-3189,8413993807
716,010-0759-7914,34891784791
717,010-0647-3806,28127314815
718,010-5234-8476,7538792309534
719,010-4209-5469,12072078239587
720,010-9024-1687,5852991037
721,010-5029-2785,50481494327
722,010-8315-2680,18053878412
723,010-9620-2135,5013714909537
724,010-6925-4370,25479241830927
725,010-9560-3598,2829797250
726,010-8405-2407,19505492348
727,010-7368-6598,94739051429
728,010-0615-3846,0152520875082
729,010-2536-9346,18041359293710
730,010-0196-3784,5837254792
731,010-1389-4279,72558190124
732,010-5892-3687,70171255742
733,010-4920-5734,1593297574359
734,010-1654-7903,42980418107829
735,010-6134-7132,0842729134
736,010-0248-1673,38091315724
737,010-0953-0839,83034897315
738,010-5496-4970,2873542974812
739,010-9073-5802,27033952329417
740,010-7932-9236,4105383597
741,010-1068-6124,41907204728
742,010-7649-0329,45938411492
743,010-9261-6329,3980789295401
744,010-9586-6942,21390193251703
745,010-3421-1892,4041287032
746,010-2145-1379,81342975082
747,010-0914-3708,71317832309
748,010-8132-8594,0531843028370
749,010-9820-9417,59208432329407
750,010-0673-1780,5982043105
751,010-7510-7590,75803141829
752,010-8197-9863,70442012751
753,010-4937-8135,8905281919834
754,010-2756-9035,90453702320847
755,010-4789-1298,9138573205
756,010-0732-1304,27505714583
757,010-4238-8046,34903910148
758,010-2738-4958,5974148350921
759,010-7456-5830,05484081594312
760,010-6385-3675,0502501794
761,010-6431-3621,38429197124
762,010-7164-7528,82470510495
763,010-5602-1798,0173329435487
764,010-2045-2810,81798053872134
765,010-5382-8263,7028157103
766,010-6874-7195,27948919240
767,010-0951-0784,82937194271
768,010-4736-7924,3549738973804
769,010-4873-4580,50495049839415
770,010-4501-0597,4175103184
771,010-6874-6127,79317048319
772,010-2136-2761,97831247592
773,010-7056-2680,3842730110485
774,010-0826-3206,70394257394027
775,010-5804-2936,1374537148
776,010-5147-8427,43019083491
777,010-1970-5912,79129042197
778,010-6034-2659,8052187403519
779,010-2403-9758,48523241873042
780,010-9406-2906,8534035980
781,010-1904-9185,45772542801
782,010-8457-9613,29334978701
783,010-9573-3918,4819270894120
784,010-7954-1308,58404871873125
785,010-4956-7042,9337952134
786,010-7631-6327,25079327854
787,010-9187-8647,98128178429
788,010-2170-4103,1083421398702
789,010-2807-6071,37181435920385
790,010-2650-7890,5850994738
791,010-9670-4061,82184397132
792,010-5283-5379,38292835719
793,010-9673-6491,7892798598325
794,010-8159-0867,42198402045129
795,010-3971-5687,2510942178
796,010-6291-0928,15914007528
797,010-5896-8513,45119432105
798,010-2810-4837,4357539275189
799,010-2107-2498,23493847594807
800,010-2840-8103,9085141938
801,010-4695-3289,53221854032
802,010-0893-5326,50858093280
803,010-7019-3612,3012172094358
804,010-6859-4058,23740143072198
805,010-8905-9157,0301315327
806,010-9061-4635,10551378312
807,010-3960-2034,32471952934
808,010-2936-9578,8714915757984
809,010-6851-4293,45380179927481
810,010-5180-4159,5772848710
811,010-2713-6291,13071997215
812,010-7824-2347,91230518593
813,010-7021-4136,3709289581974
814,010-2614-9061,82045409734910
815,010-5134-1259,0418287314
816,010-6134-6184,59805294817
817,010-2764-6794,28370594801
818,010-7865-6819,9523358931890
819,010-6582-1863,95405297127590
820,010-5713-1628,7945107895
821,010-4816-9578,12595705843
822,010-0378-1625,58752895490
823,010-9642-5169,8953245745813
824,010-2370-7102,25479418097451
825,010-7920-8657,3783059270
826,010-3650-5194,03218738729
827,010-5714-5084,78083918429
828,010-4916-0832,7198249802719
829,010-1572-6910,18291579132458
830,010-0973-0128,8039592740
831,010-8267-2573,92498341230
832,010-9812-9274,43974824203
833,010-4613-1593,8209284382039
834,010-5261-0921,28702491170392
835,010-2594-9325,3298151497
836,010-5728-0491,50997354279
837,010-1483-6789,40298218574
838,010-5917-1978,4123315858790
839,010-1076-8605,80495170875130
840,010-6948-1243,2140919542
841,010-2816-3025,42174901497
842,010-6580-8956,95243857923
843,010-3251-6874,3210074592853
844,010-8079-3954,05487592045983
845,010-6349-3542,3139275148
846,010-1763-1720,27431783574
847,010-7380-9786,83950914230
848,010-6093-8691,7012372529708
849,010-6983-1809,84912719539280
850,010-3142-9012,9084972301
851,010-8250-5407,40717298417
852,010-6048-1054,91709148291
853,010-7295-1650,3824012771849
854,010-6380-4529,57499027150283
855,010-7813-6308,4905254708
856,010-1576-0362,95759173048
857,010-4728-1098,87487517849
858,010-5406-2754,8230807590512
859,010-5298-4109,02483724143208
860,010-2701-6739,9020487930
861,010-0895-1768,75305151308
862,010-9806-5729,85959275319
863,010-5418-8291,0178307172458
864,010-2493-0658,35140287251983
865,010-6025-8916,3127820348
866,010-2476-3762,09531435018
867,010-8460-5916,27531520214
868,010-1685-2965,3870258723597
869,010-6074-1578,93429418418237
870,010-1720-1456,3119081059
871,010-6873-3498,47881389753
872,010-5140-2756,14005122935
873,010-5720-6872,3941453728179
874,010-3158-1638,72507805952173
875,010-8619-8245,0541578350
876,010-9652-7162,52414205437
877,010-2549-6095,92559042817
878,010-5460-6149,5308139548931
879,010-5142-6015,10954978584017
880,010-7368-6034,4207495328
881,010-0236-9067,97075930824
882,010-7260-9274,97315284750
883,010-6459-3790,1823705115093
884,010-7043-7215,90327042173980
885,010-9675-6295,2323790254
886,010-5694-5894,42114285472
887,010-5730-2957,13457340129
888,010-3190-5219,9701873091750
889,010-3571-1324,29072089082951
890,010-3450-7625,7045853092
891,010-4978-0938,74229838502
892,010-8795-2793,53413474917
893,010-1652-9651,1893015275318
894,010-1842-8376,75121487593871
895,010-5076-3156,4075495481
896,010-3710-3872,82759131048
897,010-8325-3264,93890538271
898,010-5973-9142,1470893581547
899,010-8093-4831,79145143538012
900,010-1537-7634,0374517082
901,010-9528-6513,75075138429
902,010-2781-5680,19558407391
903,010-7954-6208,4083847050837
904,010-4396-2195,52037854948572
905,010-2548-3108,9273818375
906,010-2438-5097,43749205172
